Titre,image,like_lien,rightstoryteaser_acontainsclass_blacklink,rightpromosection
"LE MAHA KUMBH MELA, UN VILLAGE GLOBAL ENTRE L’INTEMPOREL ET L’ÉMERGENT - ",https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/maha_.jpg?itok=EIqv_pBY,https://www.seneplus.com/opinions/le-maha-kumbh-mela-un-village-global-entre-lintemporel-et,Ce « Village Global » attire l’attention d’un large éventail de l’humanité. Il est un témoignage vivant des croyances et des pratiques intemporelles de l'hindouisme tout en étant un terrain d'expérimentation pour des facettes nouvelles et émergentes. Il permet les trois processus éternels ...,Commentaires
"CASAMANCE, COMMENT LE TOURISME A SURVÉCU AU CONFLIT - ",https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/whatsapp_image_2025-01-25_at_22.16.28.jpeg?itok=x-tNM-S5,https://www.seneplus.com/societe/casamance-comment-le-tourisme-survecu-au-conflit,"Pendant un long moment, la Casamance qui a connu une insécurité précaire à cause du conflit armé avait du mal à voir l’ombre d’un touriste. Au fil du temps, la donne a changé avec le calme qui est revenu. En 1992, le conflit armé qui a démarré dès l’aube des années 1980 a plongé tout ...",Commentaires
LE TCHAD AUTORISE UNE MARCHE CONTRE LA BASE FRANÇAISE À N’DJAMENA - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/tchad_1.jpg?itok=yg0IboHX,https://www.seneplus.com/international/le-tchad-autorise-une-marche-contre-la-base-francaise-ndjamena,"Le gouvernement tchadien a autorisé une marche contre la dernière base française à N’Djamena, exigeant le retrait des forces françaises avant le 31 janvier 2025, après avoir dénoncé les accords militaires avec la France. Organisée par la Plateforme Tchad, la marche citoyenne autorisée par ...",Commentaires
,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/conseil-des-ministre.jpg?itok=yCzKPSJb,https://www.seneplus.com/politique/les-incongrutes-du-systeme,,
MAMADOU DIA À CŒUR OUVERT - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/pr_dia.jpg?itok=3WUp6q7_,https://www.seneplus.com/politique/mamadou-dia-coeur-ouvert-je-ne-veux-appartenir-aucune-structure,"L’actualité politique sénégalaise a été marquée ces derniers temps par la publication des mémoires de MM. Maguette Lo, ancien ministre et de Mamadou Dia, ancien président du Conseil. La publication de ces deux livres a suscité plusieurs réactions de la part des acteurs des douloureux événements ...",Commentaires
LES UNES DE LA PRESSE DE CE WEND-END - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/unes251.jpg?itok=_Jzsmi-X,https://www.seneplus.com/media/les-unes-de-la-presse-de-ce-wend-end,"Sud Quotidien, Walf Quotidien, Yoor-Yoor Bi, L'Observateur, Libération, Le Quotidien, Enquête, Vox Populi, Le Verdict News, L'As, Record, Le Soleil
",Commentaires
MALENTENDU SENTIMENTAL  - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/malentendu.jpg?itok=aqjTIQ3r,https://www.seneplus.com/media/malentendu-sentimental,"Malentendu sentimental 
",Commentaires
RUPTURES - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/bt_13.jpg?itok=QfxG9GQB,https://www.seneplus.com/opinions/ruptures,"(Sud Magazine N°3- Octobre 1986) - L’ancien président du Conseil de la Première République du Sénégal vient de publier ses mémoires. Survenant à un moment où les convulsions provoquées par les avatars du bicéphalisme n'ont pas encore fini de secouer l'avant-scène du continent, la parution ...",Commentaires
"LES ILES KARONE, UN TRESOR CACHE - ",https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/karone_.jpg?itok=m8rEgTi1,https://www.seneplus.com/societe/les-iles-karone-un-tresor-cache,"Les insulaires de Kouba, dans les îles Karones, crient au désenclavement de leurs localités. La pirogue reste l’unique moyen pour accéder à ces contrées reculées de la Basse-Casamance pourtant dotées de beaucoup de potentiel sous-exploité. Aujourd’hui, la construction d’un pont est vivement ...",Commentaires
"DESENCLAVEMENT DES ILES, L’APPEL DU MAIRE DE KAFOUNTINE - ",https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/ddiatta.jpg?itok=ua8lSsqa,https://www.seneplus.com/societe/desenclavement-des-iles-lappel-du-maire-de-kafountine,"Le maire de la commune de Kafountine, David Diatta, demande le désenclavement des îles Karones pour libérer leur potentiel économique, culturel et environnemental méconnu. Le problème fondamental des îles Karones reste de toute évidence leur enclavement. C’est le cri du cœur de tous les insulaires. ...",Commentaires
SIX LEGENDES POUR LE TIRAGE AU SORT DE LA CAN 2025 - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/montsepe_0.jpg?itok=vQINBP02,https://www.seneplus.com/sports/six-legendes-pour-le-tirage-au-sort-de-la-can-2025,"La Confédération africaine de football (Caf) a annoncé la présence de six invités de marque au tirage au sort de la Can 2025 prévu la semaine prochaine. Alors que le tirage au sort de la Can 2025 livrera ses secrets lundi prochain au Théâtre national Mohammed V à Rabat au Maroc, la Caf a signifié ...",Commentaires
" MAMADOU DIA, VOTRE SOCIALISME N'EST PAS LE NOTRE - ",https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/capture_decran_2025-01-25_a_12.58.21.png?itok=-yq3-gMr,https://www.seneplus.com/opinions/mamadou-dia-votre-socialisme-nest-pas-le-notre,"La parution du livre de Magatte Lo, « L'heure du choix», puis celui de Mamadou DIA Mémoires d'un Militant du Tiers-Monde, a déplacé un certain moment le débat politique vers le passé. Un passé qui pèse encore sur le vécu quotidien : les conditions de notre accession à l'indépendance, les ...",Commentaires
"UN PRESIDENT NE SE LAMENTE PAS, IL AGIT - ",https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/capture_decran_2025-01-25_a_17.16.17.png?itok=Nsras9k_,https://www.seneplus.com/opinions/un-president-ne-se-lamente-pas-il-agit,"Commençons par exprimer notre solidarité à Abou Diallo et Oumar Sow, aujourd’hui en prison pour des propos que le procureur de la République qualifie de «déclarations de nature à inciter à la discrimination ethnique». Tout démocrate et amoureux de la liberté devrait leur apporter un soutien. ...",Commentaires
LE BÉNIN À L’ÉPREUVE DE SES DJIHADISTES - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/kerekou.jpg?itok=_3jRyTuX,https://www.seneplus.com/opinions/le-benin-lepreuve-de-ses-djihadistes,Célestin* est un chauffeur béninois d’expérience. Il est habitué à manœuvrer de gros porteurs sur les routes cabossées et sinueuses d’Afrique de l’Ouest. Il raconte avoir accompagné « un ami conducteur de camion-citerne ravitailler les ‘’djihadistes’’ en carburant » de Cotonou ...,Commentaires
LA LEVÉE DE L’IMMUNITÉ PARLEMENTAIRE DE FARBA NGOM AU MENU DE LA PRESSE DU WEEK-END - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/revue_generique_3.jpg?itok=rTpijOZ3,https://www.seneplus.com/media/la-levee-de-limmunite-parlementaire-de-farba-ngom-au-menu-de-la-0,"Les quotidiens commentent, pour leur édition de ce week-end, la procédure ayant permis à l’Assemblée nationale d’autoriser le parquet financier à mener des poursuites judiciaires contre ce député du groupe Takku Wallu Sénégal. ‘’Le député Farba Ngom est désormais disponible pour la ...",Commentaires
ENJEU COMPLEXE - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/le_point.jpg?itok=TtSCW876,https://www.seneplus.com/seneplus-tv/enjeu-complexe,"Le franc CFA, monnaie commune à plusieurs pays d'Afrique de l'Ouest et d'Afrique centrale, fait l'objet de critiques récurrentes depuis plusieurs décennies. Ces débats se sont intensifiés ces dernières années, reflétant une volonté croissante de certains États africains de réévaluer leur ...",Commentaires
LE CHOC TEUNGUETH-JARAAF ET LE DERBY AS PIKINE-GUEDIAWAYE FC EN VEDETTE - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/foot_pk-gw.jpg?itok=GEg6lTQF,https://www.seneplus.com/sports/le-choc-teungueth-jaraaf-et-le-derby-pikine-guediawaye-fc-en,"La Ligue sénégalaise de football professionnel a procédé à la mise à jour de son calendrier de championnat de Ligue 1. Au programme, deux rencontres chocs qui opposent ce samedi Teungueth FC au Jaraaf et l’As Pikine à Guédiawaye FC. Deux chocs alléchants comptant respectivement pour la 10e ...",Commentaires
LA CLAIRVOYANCE D’UN PATRIARCHE - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/mdia_3_0.jpg?itok=9ACfDmKf,https://www.seneplus.com/politique/la-clairvoyance-dun-patriarche,"Seize ans après sa disparition survenue le 25 janvier 2009, Mamadou Dia, président du Conseil du Sénégal indépendant, est une référence et ses idées irriguent les nouvelles générations d’hommes et de femmes politiques du Sénégal. En hommage à cette figure emblématique de l’histoire ...",Commentaires
CINEFEMFEST REND HOMMAGE À SAFI FAYE - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/photo-2025-01-24-07-58-55.jpg?itok=N2aBdXPj,https://www.seneplus.com/culture/cinefemfest-rend-hommage-safi-faye,"Le Cinefemfest «Gëstu Nataal i Jigeen» organise une tournée sénégalaise pour le cinquantenaire du film «Kaddu Beykat» afin de célébrer l’engagement de la réalisatrice sénégalaise Safi Faye pour la souveraineté alimentaire et la dignité du monde rural. Ce docufiction de 98 minutes, réalisé ...",Commentaires
UNE AUTORITÉ UNIQUE POUR CONTRÔLER MEDIAS ET RÉSEAUX SOCIAUX - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/photographes_medias_presse_1_5.jpg?itok=M-z_eYZd,https://www.seneplus.com/media/une-autorite-unique-pour-controler-medias-et-reseaux-sociaux,"(SenePlus) - Le ministère de la Communication (MCTN) franchit une étape décisive dans la régulation du paysage médiatique. Lors d'une journée de concertation organisée à Dakar le 24 janvier 2025, le ministre Alioune Sall a présenté un avant-projet de loi visant à créer une autorité administrative ...",Commentaires
LE TEMPS LONG DONNE RAISON À SENGHOR - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/capture_decran_2025-01-24_a_23.28.04.png?itok=bll5yaQ3,https://www.seneplus.com/opinions/le-temps-long-donne-raison-senghor,"En ces temps formidables marqués par l’ère de la post-vérité sans limites, il m’arrive de discuter avec des compatriotes de l’héritage de nos devanciers, notamment Cheikh Anta Diop et Léopold Sédar Senghor. Deux figures majeures de notre histoire intellectuelle, culturelle, sociale et politique, ...",Commentaires
LE TIRAGE DES 16E DE FINALE DE LA COUPE DU SÉNÉGAL PRÉVU LUNDI - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/79641180-57651770.jpg?itok=T-WuN1aY,https://www.seneplus.com/node/208838,"Le tirage au sort des 16e de finale de la Coupe du Sénégal, toutes catégories confondues, va se dérouler, lundi, au siège de la Fédération sénégalaise de Football (FSF), a-t-on appris auprès de l’instance en charge de charge de cette discipline. Les 32e de finale de la Coupe du Sénégal ...",Commentaires
LA MONUSCO RENFORCE SON SOUTIEN CONTRE L’EXPANSION DU M23 AU NORD-KIVU - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/rfz.jpg?itok=GHF9UPqQ,https://www.seneplus.com/international/la-monusco-renforce-son-soutien-contre-lexpansion-du-m23-au-nord,La Mission de l’Organisation des Nations Unies pour la Stabilisation en République démocratique du Congo (MONUSCO) a déclaré vendredi qu’elle va continuer de soutenir les Forces armées de la République démocratique du Congo (FARDC) dans leurs efforts pour stopper l’expansion territoriale ...,Commentaires
"LINGUÈRE, DEUX JEUNES ARRÊTÉS POUR L’AGRESSION D’UN ENSEIGNANT - ",https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/1f76599f38df7b4efa0d71c7a2641221184f8d12.jpg?itok=e0cxsTRH,https://www.seneplus.com/societe/linguere-deux-jeunes-arretes-pour-lagression-dun-enseignant,"L’affaire de l’agression de l’enseignant Cheikh Ahmadou Bamba Souane à Barkedji connaît un tournant décisif. Deux jeunes, présumés responsables de cet acte barbare survenu dans la nuit du jeudi 16 au vendredi 17 janvier, ont été arrêtés et placés sous mandat de dépôt, a annoncé le ...",Commentaires
L'ÉLITE SILENCIEUSE DE LA POLICE SÉNÉGALAISE - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/capture_decran_2025-01-24_a_23.39.30.png?itok=foH-dW6y,https://www.seneplus.com/seneplus-tv/lelite-silencieuse-de-la-police-senegalaise,"La Brigade d'Intervention Polyvalente (BIP), unité d'élite de la police sénégalaise, opère depuis 1975 dans l'ombre de la sécurité nationale. Cette force spéciale, directement rattachée à la présidence de la République et à la Direction Générale de la Police Nationale, constitue le fer ...",Commentaires
LES PROCHAINES ÉTAPES APRÈS LA LEVÉE DE L'IMMUNITÉ PARLEMENTAIRE DE FARBA NGOM - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/daryert.jpg?itok=KqrHT-X4,https://www.seneplus.com/politique/les-prochaines-etapes-apres-la-levee-de-limmunite-parlementaire,"iGFM - TV Après la levée de l’immunité parlementaire de Farba Ngom quelle étape va suivre dans la procédure ? Une question à laquelle Daouda Mine a donné une réponse détaillée sur le plateau de iGFM – Tv.  L’immunité parlementaire de Farba Ngom a été levée ce vendredi. À présent, ...",Commentaires
LES UNES DE LA PRESSE DE CE VENDREDI 24 JANVIER 2025 - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/unes2401.jpg?itok=Y2yrBTqc,https://www.seneplus.com/media/les-unes-de-la-presse-de-ce-vendredi-24-janvier-2025,"Sud Quotidien, Walf Quotidien, Yoor-Yoor Bi, L'Observateur, Libération, Le Quotidien, Enquête, Vox Populi, Le Verdict News, L'As, Record, Le Soleil, Wiwsport
",Commentaires
"PRÈS DE 18.000 DEMANDEURS ENRÔLÉS, EN MOINS DE TROIS SEMAINES - ",https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/342331f1426122c062e5fbd902ecfeadadf6c96d.jpg?itok=zH89BPNa,https://www.seneplus.com/societe/pres-de-18000-demandeurs-enroles-en-moins-de-trois-semaines,"Près de 18.000 demandeurs ont été enrôlés sur l’ensemble du territoire national, moins de trois semaines après le démarrage des opérations d’immatriculation des deux-roues, a indiqué, jeudi à Mbour, le ministre des Infrastructures, des Transports terrestres et aériens, Yankhoba Diémé. « ...",Commentaires
"GERMAINE ACOGNY, LAURÉATE DU PRIX NONINO 2025 - ",https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/acognyz.jpg?itok=Svg18HBT,https://www.seneplus.com/culture/germaine-acogny-laureate-du-prix-nonino-2025,"Dakar, 24 jan (APS) – Le Prix Nonino ‘’Maître de notre temps’’ 2025 a été décerné à la chorégraphe et danseuse sénégalaise d’origine béninoise Germaine Acogny ‘’pour son immense contribution à la danse contemporaine et à la culture mondiale’’, a appris, vendredi, l’APS ...",Commentaires
LES ICS POUR ACCÉLÉRER LE PLAN DE CONFORMITÉ AUX NORMES ENVIRONNEMENTALES EN VIGUEUR - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/capture_decran_2025-01-24_a_18.38.34.png?itok=wZWyhN1J,https://www.seneplus.com/societe/les-ics-pour-accelerer-le-plan-de-conformite-aux-normes,"Le nouveau directeur général des Industries chimiques du Sénégal (ICS) a annoncé que l’entreprise qu’il dirige depuis le début de l’année, va accélérer la conformité de ses installations aux exigences environnementales, en vigueur. Mamadou Sougoufara a assuré au ministre de l’Environnement ...",Commentaires
,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/hnk_1.jpg?itok=AGwIogjo,https://www.seneplus.com/opinions/quand-letat-rame-ca-mouline-dans-le-vide,,
