Titre,Lien_du_titre,image,module_main_post_categorey,post_meta,post_meta1,post_meta2
RDC : LA SECRÉTAIRE GÉNÉRALE DE LA FRANCOPHONIE PRÉOCCUPÉE PAR LA CRISE,https://www.seneweb.com/news/Afrique/rdc-la-secretaire-generale-de-la-francop_n_461772.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_eb8377b2df4b825f0c4a0725aa8cda549a684313.jpg,Afrique,"À travers un communiqué rendu public, la secrétaire générale de la Francophonie a exprimé son extrême préoccupation par rapport à la  situation à...","164 
   Lectures","3 Commentaires 
   "
KHOMBOLE : UNE PROSTITUÉE TUE SON CLIENT ET TOMBE EN GAMBIE,https://www.seneweb.com/news/Societe/khombole-une-prostituee-tue-son-client-e_n_461771.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_4d8888c8d32f9a3b1432b13cbd12aeddbbba2a69.png,Societe,"Une partie de jambes en l'air a tourné au drame, à Khombole. Le 18 janvier, vers 22 h,  la prostituée C. S. a poignardé à mort son client D. Ba, âgé de...","1411 
   Lectures","4 Commentaires 
   "
"USA,1 689 SÉNÉGALAIS MENACÉS D’EXPULSION, BAOS ET TRIBUNAUX PRIS D'ASSAUT ..: ARONA NIANG RÉAGIT",https://www.seneweb.com/news/EN%20DIRECT/usa-1-689-senegalais-menaces-d-rsquo-exp_n_461770.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_2a5b4e0499c688821201a0f30cd7312fb63b07e1.jpg,EN DIRECT,"USA,1 689 Sénégalais menacés d’expulsion, BAOS et Tribunaux pris d'assaut ..: Arona Niang réagit","366 
   Lectures","1 Commentaires 
   "
Disparition Didier Badji Et Fulbert Sambou :  Niomoune Réclame La Vérité Et Puis La Justice,https://www.seneweb.com/news/Video/disparition-didier-badji-et-fulbert-samb_n_461769.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_c197d6d2f70d9cbc0c6f2b70be110254e8ef27f6.png,Video,"Deux après la disparition des militaires Didier Badji et Fubert Sambou, les populations de Niomoune, d'où ils sont originaires, sont encore sous le choc. Les...","303 
   Lectures","4 Commentaires 
   "
SANTÉ MATERNELLE ET INFANTILE : LA FONDATION SUSAN THOMPSON BUFFETT VEUT ACCOMPAGNER LE SÉNÉGAL,https://www.seneweb.com/news/Sante/sante-maternelle-et-infantile-la-fondati_n_461768.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_149b91b15c3bfeca6ba4cabddd81bc26eaec5967.jpeg,Sante," Le chef de l’État, Bassirou Diomaye Faye, a reçu, ce mardi, dans l'après-midi, Dr Senait Fisseha, vice-présidente de la fondation Susan Thompson...","585 
   Lectures","4 Commentaires 
   "
"L’ARMÉE MALIENNE NEUTRALISE ABOU AZIMANE, UN CHEF JIHADISTE INFLUENT, LORS D'UNE OPÉRATION RÉUSSIE À NIAFUNKÉ",https://www.seneweb.com/news/Afrique/l-rsquo-armee-malienne-neutralise-abou-a_n_461767.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_f4a5ffe209a7e6ca878bc42a519f168790e5d6ff.jpg,Afrique," Le 26 janvier 2025, l’armée malienne a annoncé la neutralisation d’Abou Azimane, un chef jihadiste local tristement célèbre pour ses exactions et...","674 
   Lectures","4 Commentaires 
   "
"TRIBUNAL DE FATICK : T. DIATTA RISQUE DEUX ANS DE PRISON POUR DÉTENTION DE ""YAMBA""",https://www.seneweb.com/news/Societe/tribunal-de-fatick-t-diatta-risque-deux-_n_461766.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_16d033400202da2189e393b6d5dbc88d148fe29b.jpg,Societe,"Le prévenu T. Diatta avait vendu sa moto à Lamine, sans plus de précision,  qui devait lui verser un reliquat  de 150 000 F CFA. Resté des jours sans...","409 
   Lectures","3 Commentaires 
   "
"NEYMAR EST DE RETOUR À SANTOS, APRÈS 12 ANS",https://www.seneweb.com/news/Sport/neymar-est-de-retour-a-santos-apres-12-a_n_461765.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_15e159660b00d04e5bbaaa11e4b2e2603505f214.jpeg,Sport,C’est désormais officiel...,"1179 
   Lectures","2 Commentaires 
   "
DÉCÈS D'UN BOUTIQUIER APRÈS SON AGRESSION À YARAKH : CE QUE L'ON SAIT DU DRAME,https://www.seneweb.com/news/Societe/deces-d-un-boutiquier-apres-son-agressio_n_461764.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_a826047e2d8f5b388d67e8dd64d9b161c73c29f4.png,Societe,"Yarakh a été le théâtre d'une agression mortelle, dans la nuit du samedi au dimanche derniers. ","4437 
   Lectures","55 Commentaires 
   "
PRIX DÉCOUVERTE RFI 2025: LE CHANTEUR SÉNÉGALAIS SAHAD SARR PARMI LES 10 FINALISTES,https://www.seneweb.com/news/M%C3%A9dias/prix-decouverte-rfi-2025-le-chanteur-sen_n_461763.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_2dd4e16a05805dd0a3e20adc9ee204cbda3ab1e3.png,Médias,"Le talentueux artiste musicien sénégalais Sahad Sarr, De son vrai nom Abdou Karim Sarr dit ""Sahad...","311 
   Lectures","1 Commentaires 
   "
"L'ŒUVRE ÉMOUVANTE ET PROFONDE DE DIA YAYE SACKO : CHRONIQUES SAHÉLIENNES I - MALI : 1960-2020, L’ÈRE DU BILAN",https://www.seneweb.com/news/Politique/l-oelig-uvre-emouvante-et-profonde-de-di_n_461762.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_dbaac3b8c924bd675b6b2f8c065f426f57a07a0f.png,Politique,Le Parcours de l'Auteur : Une Vie de Dévouement au Mali et à l'Afrique....,"352 
   Lectures","1 Commentaires 
   "
"LE RETRAIT DES ETATS DE L’ALLIANCE DES ETATS DU SAHEL (AES)DE LA CEDEAO : ENTRE LÉGITIMITÉ, EFFECTIVITÉ ET AVENIR DE L’ORGANISATION RÉGIONALE (PAR ISMAILA MADIOR FALL)",https://www.seneweb.com/news/Contribution/le-retrait-des-etats-de-l-rsquo-alliance_n_461761.html,https://www.seneweb.com/dynamic/modules/news/images/gen/Ely/Isma-Fall-Madior.jpg,Contribution,Ce mercredi 29 janvier 2025 marque la date de formalisation du divorce du Mali d’avec la CEDEAO,"1300 
   Lectures","20 Commentaires 
   "
PARCELLES-ASSAINIES : UN ENFANT FAUCHÉ PAR UN CHAUFFARD,https://www.seneweb.com/news/Societe/parcelles-assainies-un-enfant-fauche-par_n_461760.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_53fcb0f19a772b27ea1e0d887bc2c855ae1b4ee4.jpg,Societe,"Un enfant âgé de 2 à 3 ans a été mortellement percuté, hier lundi à l’Unité 22 des Parcelles-Assainies, non loin du commissariat de police, par un...","706 
   Lectures","7 Commentaires 
   "
MAGAL DE TOUBA OUAKAM: L'APPEL DE SERIGNE BASSIROU MBACKÉ ABDOU KHADR,https://www.seneweb.com/news/Video/magal-de-touba-ouakam-l-appel-de-serigne_n_461755.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_9807d0991aa62998e0734aa7f81dde3e2956835b.jpg,Video,Magal de Touba Ouakam: L'appel de Serigne Bassirou Mbacké Abdou Khadr,"722 
   Lectures","12 Commentaires 
   "
ACCÈS AU LOGEMENT: MOMATH TALLA NDAO INVITE LES PROMOTEURS IMMOBILIERS PRIVÉS À PROMOUVOIR L’HABITAT SOCIAL,https://www.seneweb.com/news/Societe/acces-au-logement-momath-talla-ndao-invi_n_461753.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_9f94f0eaf48cdb6ddcd8c04a333a3fb1c7c94731.jpg,Societe,Les promoteurs immobiliers privés doivent avoir leur rôle dans la promotion de l’habitat social. ,"1090 
   Lectures","24 Commentaires 
   "
"Accords De Pêche, Visas, Immigration : Les Réponses De Yacine Fall Devant  L’union Européenne",https://www.seneweb.com/news/Politique/accords-de-peche-visas-immigration-les-r_n_461752.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_73318b83cf52953811f0d84e0204901d3113c640.jpg,Politique,"Dans sa déclaration de politique générale, le Premier ministre Ousmane Sonko a affirmé que le Sénégal va appliquer la réciprocité des visas aux pays qui...","2982 
   Lectures","36 Commentaires 
   "
DIALOGUE ANNUEL ENTRE LE SÉNÉGAL ET L’UNION EUROPÉENNE: UN PARTENARIAT “ÉQUILIBRÉ” POUR RENFORCER LES LIENS,https://www.seneweb.com/news/Politique/dialogue-annuel-entre-le-senegal-et-l-rs_n_461751.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_a9628269d3a973be2819d95f3c3ee1b85407d415.jpg,Politique,Le dialogue annuel de partenariat entre le Sénégal et l'Union européenne s'est tenu à Dakar ce mardi 28 janvier. ,"681 
   Lectures","3 Commentaires 
   "
50E PROJET IMMOBILIER POUR L'ENTREPRISE SABLUX,https://www.seneweb.com/news/Video/50-projet-immobilier-pour-l-entreprise-s_n_461750.html,https://img.youtube.com/vi/aTnpXpVUSIQ/maxresdefault.jpg,Video,"Pour célébrer ses 15 ans, l'entreprise Sablux accomplit 
un exploit inédit dans le secteur immobilier...","1242 
   Lectures","5 Commentaires 
   "
