Titre,nombre,meta_item_lien,meta_item,date
,,https://buzzsenegal.com/societe/disparition-mysterieuse-du-colonel-daoud_n_92213.html,Societe,6 jours
,,https://buzzsenegal.com/societe/horreur-a-keur-massar-o-hanne-19-ans-acc_n_92206.html,Faits-Divers,6 jours
,,https://buzzsenegal.com/Videos/bbei-binta-un-enterrement-de-vie-de-jeun_n_92182.html,Video,2 semaines
,,https://buzzsenegal.com/Videos/revelation-sur-aida-patra-laquo-une-dece_n_92171.html,Video,2 semaines
,,https://buzzsenegal.com/Videos/quand-la-vente-de-lingerie-rime-avec-por_n_92168.html,Video,2 semaines
,,https://buzzsenegal.com/Videos/en-live-no-face-tacle-severement-les-det_n_92147.html,Video,2 semaines
,,https://www.seneweb.com/news/People/faynara-quot-lors-de-mon-mariage-j-ai-de_n_462134.html,People,2 semaines
,,https://www.seneweb.com/news/Video/boulettes-de-alima-suppo-les-confidences_n_461930.html,Video,2 semaines
,,https://buzzsenegal.com/societe/dahra-djolof-un-mari-jaloux-sectionne-l-_n_92023.html,Societe,3 semaines
,,https://buzzsenegal.com/Confessions/dahra-djolof-un-mari-jaloux-sectionne-l-_n_92022.html,Societe,3 semaines
,,https://buzzsenegal.com/Sport/pousse-a-la-retraite-gris-bordeaux-reagi_n_91965.html,Sport,4 semaines
,,https://www.seneweb.com/news/Afrique/est-de-la-rdc-offensive-du-m23-et-des-tr_n_462442.html,Afrique,6 minutes
,,https://www.seneweb.com/news/Afrique/burkina-faso-france-quatre-argents-de-se_n_460986.html,Afrique,3 semaines
